"Missingness_Mech","Trt_Assignment","Trt_Effect_Size","Include_Y_in_Imputation","Complete.Data","CCA","W_MI5","A_MI5","W_MI20","A_MI20","W_MI50","A_MI50"
2,2,0,1,4.99801739384147,6.08431233196129,4.9599645719676,4.73090947638282,4.96488614167077,4.678155928942,4.96173220368568,4.67818061318396
2,2,1,0,4.99364818281076,6.09525837627027,6.09019781394365,5.96817620080713,6.08831992565448,5.93514108436746,6.09267938238586,5.92445611742157
2,2,1,1,4.99876825565732,6.11410343800823,4.95093864012072,4.70803320081303,4.94791489521947,4.66420270860937,4.94855205731078,4.66198381325984
2,2,2,0,4.99659443571516,6.09845932112737,6.0992820470782,5.98425923243809,6.10241327348863,5.96569295701621,6.10460231168165,5.96284686810355
2,2,2,1,5.00179664323235,6.06705292163744,4.94640395802489,4.74140103645956,4.95185639789898,4.67776454030455,4.94976629384163,4.66409126637688
2,3,0,0,5.00180409043395,5.32723306944308,5.38247686512574,5.28978856972173,5.37857934476031,5.27160495115233,5.38619083056092,5.26552135279069
2,3,0,1,4.99600213915818,5.3313517773556,4.38687028045368,4.25524222356158,4.38767946552276,4.23281288037115,4.38259183198744,4.21472216840755
2,3,1,0,4.99927006580549,5.32255325398456,5.36605448868576,5.27517109581332,5.37076423415662,5.26577763040021,5.3647825353924,5.24058578414204
2,3,1,1,5.00030491398541,5.34660690176653,4.40182903312598,4.25072754767854,4.39441202976831,4.23325959762021,4.3882069903878,4.24792308930529
2,3,2,0,5.00147079012529,5.34431470085757,5.40934725038846,5.31275367863631,5.4039408929363,5.26651427330397,5.40015620203584,5.2782253460199
2,3,2,1,5.00060017657947,5.33298847296329,4.414898552078,4.25202380673394,4.39769899777911,4.23217259916869,4.39927112942253,4.22442795618674
